date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:39	254/254	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:19:39%20GMT	https://www.voltacademy.it/robots.txt		(from )
15:19:40	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20Sep%202022%2013:19:39%20GMT	https://www.voltacademy.it/	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/index.html	(from )
15:19:40	27720/27720	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Aug%202022%2002:50:08%20GMT	https://www.voltacademy.it/home/	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/home/index.html	(from https://www.voltacademy.it/)
15:19:40	218445/218445	---M--	200	added ('OK')	image/png	etag:%223554d-5e614737108bf%22	https://www.voltacademy.it/assets/img/logo_volt.png	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/img/logo_volt.png	(from https://www.voltacademy.it/home/)
15:19:40	306/306	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:19:40%20GMT	https://www.voltacademy.it/assets/img/apple-touch-icon.html	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/img/apple-touch-icon.html	(from https://www.voltacademy.it/home/)
15:19:40	161409/161409	---MCZ	200	added ('OK')	text/css	etag:W/%2227681-5c0d5bd985f40%22	https://www.voltacademy.it/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://www.voltacademy.it/home/)
15:19:41	92208/92208	---MCZ	200	added ('OK')	text/css	etag:W/%2216830-5c0d5bd3cd1c0%22	https://www.voltacademy.it/assets/vendor/icofont/icofont.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/icofont/icofont.min.css	(from https://www.voltacademy.it/home/)
15:19:41	63239/63239	---MCZ	200	added ('OK')	text/css	etag:W/%22f707-5c0d5bdc62600%22	https://www.voltacademy.it/assets/vendor/boxicons/css/boxicons.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/boxicons/css/boxicons.min.css	(from https://www.voltacademy.it/home/)
15:19:41	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2211846-5c0d5bd2d8f80%22	https://www.voltacademy.it/assets/vendor/animate.css/animate.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/animate.css/animate.min.css	(from https://www.voltacademy.it/home/)
15:19:41	20309/20309	---MCZ	200	added ('OK')	text/css	etag:W/%224f55-5c0d5bd6a9880%22	https://www.voltacademy.it/assets/vendor/venobox/venobox.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/venobox/venobox.css	(from https://www.voltacademy.it/home/)
15:19:41	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22d17-5c0d5bdf3ecc0%22	https://www.voltacademy.it/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://www.voltacademy.it/home/)
15:19:42	60352/60352	---MCZ	200	added ('OK')	text/css	etag:W/%22ebc0-5e1704dd4e185%22	https://www.voltacademy.it/assets/css/all.min.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/css/all.min.css	(from https://www.voltacademy.it/home/)
15:19:42	28397/28397	---MCZ	200	added ('OK')	text/javascript	etag:W/%22140009-6eed-5db83cb7be58d%22	https://code.iconify.design/2/2.2.1/iconify.min.js	C:/Mie%20pagine%20Web/volt/code.iconify.design/2/2.2.1/iconify.min.js	(from https://www.voltacademy.it/home/)
15:19:42	35575/35575	---MCZ	200	added ('OK')	text/css	etag:W/%228af7-5e626ba8f6080%22	https://www.voltacademy.it/assets/css/style.css	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/css/style.css	(from https://www.voltacademy.it/home/)
15:19:43	11375/11375	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2022:33:26%20GMT	https://www.voltacademy.it/Novita/	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/Novita/index.html	(from https://www.voltacademy.it/home/)
15:19:43	1620149/1620149	---M--	200	added ('OK')	image/png	etag:%2218b8b5-5e6146f05c0c6%22	https://www.voltacademy.it/assets/img/SfondoVuoto.png	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/img/SfondoVuoto.png	(from https://www.voltacademy.it/home/)
15:19:43	781758/781758	---M--	200	added ('OK')	image/png	etag:%22bedbe-5e6146bb31772%22	https://www.voltacademy.it/assets/img/bannerlungo.png	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/img/bannerlungo.png	(from https://www.voltacademy.it/home/)
15:19:43	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215d84-5c0d5bd4c1400%22	https://www.voltacademy.it/assets/vendor/jquery/jquery.min.js	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/jquery/jquery.min.js	(from https://www.voltacademy.it/home/)
15:19:43	84378/84378	---MCZ	200	added ('OK')	application/javascript	etag:W/%221499a-5c0d5bda7a180%22	https://www.voltacademy.it/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Mie%20pagine%20Web/volt/www.voltacademy.it/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://www.voltacademy.it/home/)
